usuario,usuario_seguidores,modelo,color,calificacion,comentario,fuente,likes,verificado,respondido_marca,fecha,intencion_plantilla
cristinasaenz,470,084 Diamante,blanco,4,"Buenos los 084 Diamante, me gustaron 👍 cumplen lo prometido",google_reviews,88,True,False,2026-01-25 04:27:35,positivo
guillerminasalas,98,084 Campeón,negro,4,Cómodos los 084 Campeón pero el color destiñe en 2 lavadas 😕 mitad y mitad,amazon,65,True,True,2025-02-26 17:50:15,mixto
cabansergio,176,084 Campeón,beige,4,Bonitos los 084 Campeón pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,twitter,42,False,False,2023-03-25 18:56:48,mixto
tguerrero,108,084 Campeón,azul,3,"Compré los 084 Campeón, son tenis. Punto.",google_reviews,23,True,False,2026-04-17 03:26:56,neutro
guadalupe88,326,084 Campeón,blanco,5,Compré los 084 Campeón para mi hijo y le ENCANTARON 🥰 muy cómodos y bonitos,amazon,54,True,False,2024-04-08 07:55:49,positivo
vurbina,63,084 Diamante,verde,2,PÉSIMOS los 084 Diamante 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,instagram,104,False,False,2024-05-03 08:24:55,negativo
tjuarez,2,Gran Prix,rojo,4,MARAVILLOSOS los Gran Prix 😍 como caminar en nubes ☁️☁️ los amo,google_reviews,31,False,False,2023-06-26 09:32:17,positivo
gerardoespinoza,19,Barracuda,gris,5,"Me gustaron los Barracuda, cómodos y bonitos para diario 🙂",twitter,34,False,False,2024-01-11 16:28:53,positivo
tellojose-luis,779,Caimán,verde,5,"AMO mis Caimán 💖 ya pedí otro par en otro color, hermosos",facebook,118,False,True,2022-12-22 09:51:05,positivo
ilselebron,1,084 Campeón,rosa,3,Horrible calidad los 084 Campeón 😠 ni para regalar #malacompra #panam,google_reviews,140,True,False,2025-10-22 07:16:54,negativo
felipe34,292,084 Diamante,gris,1,PÉSIMOS los 084 Diamante 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,facebook,48,True,False,2023-04-13 01:53:44,negativo
jose-carlos40,64,Caimán,rosa,2,NO LOS COMPREN!! Mis Caimán se despegaron en una semana 😤 estafa total,twitter,77,True,False,2025-11-20 19:31:14,negativo
robertoarmenta,781,084 Clásico,verde,5,Me encantaron mis 084 Clásico 😍🔥 súper cómodos para todo el día!! #Panam #Calzado,tiktok,1,True,False,2021-10-22 17:16:33,positivo
gilberto71,26,Barracuda,gris,2,Terrible experiencia con los Barracuda 💔 mala calidad y peor servicio al cliente 😡,instagram,104,True,False,2021-06-13 10:05:45,negativo
gloria77,86,Gran Prix,beige,4,"AMO mis Gran Prix 💖 ya pedí otro par en otro color, hermosos",tiktok,79,False,True,2024-03-29 20:23:50,positivo
camilohernadez,20,084 Clásico,verde,5,Increíbles!! Los 084 Clásico se ven y se sienten premium 🔝🔥 vale cada peso,amazon,64,False,False,2025-05-29 13:35:30,positivo
barraganconcepcion,339,Urbano,rojo,2,"Esperaba más de los Urbano, la suela es muy delgada 😕 regulares",amazon,14,True,False,2025-07-12 02:48:10,negativo
velazquezruby,6333,084 Campeón,gris,4,MARAVILLOSOS los 084 Campeón 😍 como caminar en nubes ☁️☁️ los amo,twitter,119,True,False,2021-10-19 20:54:13,positivo
isaacvalladares,549,084 Diamante,verde,1,Horrible calidad los 084 Diamante 😠 ni para regalar #malacompra #panam,amazon,8,True,False,2023-12-06 07:08:22,negativo
guzmangenaro,132,Panam Alfa,verde,1,"Los Panam Alfa no me convencieron, son muy regulares para el precio 🤷‍♀️",twitter,47,True,True,2026-02-03 04:27:45,negativo
mzelaya,184,RL15,blanco,5,Increíbles!! Los RL15 se ven y se sienten premium 🔝🔥 vale cada peso,amazon,59,True,False,2023-04-07 11:58:25,positivo
craya,633,Ultra,verde,3,Bonitos los Ultra pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,tiktok,8,False,False,2023-11-16 03:46:39,mixto
kmagana,3591,Urbano,azul,2,"Mala compra los Urbano, no son lo que esperaba ☹️ poco durables",tiktok,136,True,True,2021-11-09 10:37:06,negativo
francorosalia,53,Panam Alfa,negro,3,Buena calidad los Panam Alfa pero la entrega tardó 3 semanas 😑 ojo con eso,tiktok,6,False,False,2023-02-20 22:42:02,mixto
veronica12,165,Gran Prix,blanco,2,Me gustaron los Gran Prix aunque son un poco apretados al principio 😬 ya cedieron,instagram,44,True,False,2023-05-21 13:09:55,mixto
maria-josebenavidez,1323,084,verde,4,Excelentísimos los 084 ✨ los uso para correr y son perfectos 🏃‍♂️💨,twitter,20,True,False,2022-09-04 15:26:22,positivo
paredesestela,19,084,blanco,2,"Regulares los 084, esperaba un poquito más pero también un poquito menos",facebook,11,True,False,2025-05-05 06:44:07,neutro
antonio34,5,084 Diamante,blanco,3,"Regulares los 084 Diamante, esperaba un poquito más pero también un poquito menos",tiktok,6,False,True,2023-10-01 16:31:52,neutro
rbatista,88,Panam Alfa,gris,1,"Incomodísimos los Panam Alfa, me lastimaron los pies después de 1 hr 😣",instagram,7,True,False,2023-05-01 12:51:41,negativo
rosalia93,7,Panam Alfa,rosa,5,"10/10 los Panam Alfa ⭐⭐⭐⭐⭐ excelente atención y producto, llegaron rapidísimo",facebook,27,False,False,2024-12-17 04:10:50,positivo
tovarmauricio,5990,084 Diamante,verde,3,"Los 084 Diamante están ok, nada del otro mundo 🤷",instagram,0,True,False,2022-08-12 04:58:33,neutro
horacio10,1412,084 Campeón,verde,1,"Esperaba más de los 084 Campeón, la suela es muy delgada 😕 regulares",google_reviews,162,True,False,2022-10-03 19:37:15,negativo
noemi94,25507,084 Diamante,rosa,4,"Cumple lo prometido, los 084 Diamante están bien para el uso diario 👍🏼",amazon,3,True,False,2025-01-29 17:10:34,positivo
rochauriel,167,084 Campeón,azul,1,"Incomodísimos los 084 Campeón, me lastimaron los pies después de 1 hr 😣",tiktok,114,True,False,2024-10-07 20:43:54,negativo
jaqueline87,139,084 Campeón,rosa,5,"10/10 los 084 Campeón ⭐⭐⭐⭐⭐ excelente atención y producto, llegaron rapidísimo",twitter,41,True,False,2025-01-25 09:11:18,positivo
zamoraaurelio,50,Barracuda,rojo,5,"Yo súper feliz con mis Barracuda 🥹 mejor inversión del mes, los recomiendo muchísimo",facebook,30,True,False,2025-01-07 13:54:48,positivo
pamela40,1793,084 Diamante,rosa,1,Muy decepcionada con mis 084 Diamante 💔 esperaba muchísimo más por el precio que pagué 🙄,amazon,8,True,True,2022-02-14 01:20:51,negativo
yuridiavelasquez,2,RL15,verde,5,BUENÍSIMOS los RL15!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,facebook,146,True,False,2026-05-04 10:34:48,positivo
jimenezmitzy,16,084 Clásico,negro,3,MARAVILLOSOS los 084 Clásico 😍 como caminar en nubes ☁️☁️ los amo,google_reviews,1,True,True,2021-09-08 07:24:44,positivo
gloriasolano,4937,Ultra,azul,4,"Me gustaron los Ultra, cómodos y bonitos para diario 🙂",facebook,53,True,True,2025-02-08 06:32:07,positivo
jose-eduardo96,628,084 Campeón,verde,4,Bonitos los 084 Campeón 👌 buen precio para la calidad,twitter,0,True,False,2025-07-12 01:15:16,positivo
rodrigezandrea,15,Flip,negro,5,Bonitos los Flip 👌 buen precio para la calidad,amazon,9,False,False,2024-10-26 00:09:44,positivo
adriana12,91,084 Clásico,gris,2,"Los 084 Clásico son una PORQUERÍA, se rompieron al mes 🤬 quiero MI REEMBOLSO ya",twitter,64,False,False,2024-02-24 23:27:54,negativo
ssaldivar,70,Gran Prix,rojo,3,"Normales los Gran Prix, ni bien ni mal 🤷‍♂️",facebook,7,True,False,2024-10-01 11:24:19,neutro
renteriaernesto,485,084 Campeón,blanco,2,PÉSIMOS los 084 Campeón 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,tiktok,0,True,False,2024-01-08 11:37:13,negativo
aida16,79,084 Campeón,verde,5,Mejor compra del año!! Los 084 Campeón son una BELLEZA 🔥🔥🔥 #PanamForever,twitter,1,False,False,2025-09-21 02:35:56,positivo
torresfrancisca,942,Vaivén,negro,4,Quedé enamoradísima de mis Vaivén ✨ buenísima calidad y precio 👌🥰,google_reviews,85,True,True,2024-11-10 05:29:38,positivo
escobedoleticia,102,084 Clásico,rosa,5,Increíbles!! Los 084 Clásico se ven y se sienten premium 🔝🔥 vale cada peso,facebook,23,True,False,2024-06-03 07:44:44,positivo
wquintanilla,11,084 Clásico,blanco,1,Decepción total los 084 Clásico 😞 se ven baratos y se rompen aún más rápido 👎,instagram,40,True,False,2021-10-13 15:58:28,negativo
renatoulloa,4962,084 Clásico,gris,4,"Buenos los 084 Clásico, me gustaron 👍 cumplen lo prometido",facebook,148,False,True,2022-06-17 08:34:32,positivo
emilia71,137,084 Campeón,gris,3,Horrible calidad los 084 Campeón 😠 ni para regalar #malacompra #panam,tiktok,112,False,False,2021-08-04 00:10:58,negativo
jaimemarquez,1348,084 Diamante,negro,1,Muy decepcionada con mis 084 Diamante 💔 esperaba muchísimo más por el precio que pagué 🙄,facebook,1,True,False,2026-01-11 17:03:18,negativo
uriascristina,10,Vaivén,verde,4,Excelentísimos los Vaivén ✨ los uso para correr y son perfectos 🏃‍♂️💨,amazon,7,True,True,2022-02-19 21:42:12,positivo
gabinoriojas,656,SuperFaro,verde,3,"Los SuperFaro están ok, nada del otro mundo 🤷",google_reviews,11,True,False,2022-05-06 06:25:55,neutro
ivonnelovato,219,084 Clásico,blanco,5,"AMO mis 084 Clásico 💖 ya pedí otro par en otro color, hermosos",twitter,16,True,False,2025-09-03 07:46:08,positivo
debora77,20,Urbano,verde,1,Terrible experiencia con los Urbano 💔 mala calidad y peor servicio al cliente 😡,instagram,88,True,False,2023-06-02 13:24:53,negativo
jurena,247,084,blanco,5,"Me gustaron los 084, cómodos y bonitos para diario 🙂",twitter,45,False,False,2024-08-10 01:46:04,positivo
ofeliasauceda,1059,084 Campeón,rojo,1,"Incomodísimos los 084 Campeón, me lastimaron los pies después de 1 hr 😣",amazon,122,True,False,2022-07-04 10:19:16,negativo
lealdebora,42,084 Diamante,verde,5,"Yo súper feliz con mis 084 Diamante 🥹 mejor inversión del mes, los recomiendo muchísimo",amazon,9,False,False,2024-03-27 06:27:21,positivo
abelardo44,156,084,gris,1,"Los 084 son una PORQUERÍA, se rompieron al mes 🤬 quiero MI REEMBOLSO ya",google_reviews,46,True,False,2026-05-03 20:46:11,negativo
ccordova,23,084 Diamante,rojo,3,Quedé enamoradísima de mis 084 Diamante ✨ buenísima calidad y precio 👌🥰,amazon,63,True,False,2025-12-04 15:00:00,positivo
vmontano,9,Vaivén,beige,5,"Muy cómodos los Vaivén, me los recomendó mi hermana ✌️ buena compra",google_reviews,32,True,False,2026-01-15 01:28:00,positivo
uresendez,26,Perestroika,verde,1,Pésima atención y los Perestroika llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,instagram,1,True,False,2022-12-13 10:27:42,negativo
micaelaolivera,602,Urbano,negro,5,Mis Urbano son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,instagram,2,True,False,2023-05-01 23:11:57,positivo
uarmas,1478,Urbano,verde,5,BUENÍSIMOS los Urbano!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,instagram,5,True,False,2025-05-14 19:11:11,positivo
qolvera,36,Ultra,rosa,5,Quedé enamoradísima de mis Ultra ✨ buenísima calidad y precio 👌🥰,google_reviews,34,False,False,2022-08-21 21:18:57,positivo
iarce,611,084 Diamante,beige,3,PÉSIMOS los 084 Diamante 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,google_reviews,80,False,False,2025-08-13 21:03:50,negativo
felipe71,48,084 Clásico,rojo,3,Terrible experiencia con los 084 Clásico 💔 mala calidad y peor servicio al cliente 😡,facebook,44,True,False,2025-10-26 09:16:35,negativo
ualejandro,127,084,blanco,5,"Los mejores tenis que he tenido!! Los 084 son cómodos, bonitos y baratos 👌🔥",tiktok,10,True,False,2022-07-28 04:31:41,positivo
ecorrea,513,RL15,rojo,1,Terrible experiencia con los RL15 💔 mala calidad y peor servicio al cliente 😡,twitter,65,True,False,2025-05-03 23:16:40,negativo
amelia96,786,Urbano,negro,2,"Regulares los Urbano, esperaba un poquito más pero también un poquito menos",amazon,4,True,False,2022-01-10 20:15:56,neutro
yuridia86,371,084 Campeón,rosa,4,Bonitos los 084 Campeón 👌 buen precio para la calidad,amazon,219,False,False,2024-01-15 03:29:18,positivo
ctoro,350,084,rojo,3,Buena calidad los 084 pero la entrega tardó 3 semanas 😑 ojo con eso,google_reviews,9,False,False,2021-12-04 21:20:31,mixto
salmaloera,224,Caimán,rosa,1,NO LOS COMPREN!! Mis Caimán se despegaron en una semana 😤 estafa total,amazon,1,False,False,2023-04-13 02:07:40,negativo
puentefederico,137,084 Clásico,verde,2,BASURA los 084 Clásico 🤮 me lastimaron los pies horrible 👎 nunca más,amazon,99,False,False,2022-03-14 13:53:03,negativo
sde-la-cruz,579,084 Clásico,blanco,3,"Regulares los 084 Clásico, esperaba un poquito más pero también un poquito menos",facebook,26,True,True,2023-11-22 17:19:49,neutro
arredondoalejandra,62,Urbano,rojo,3,"AMO mis Urbano 💖 ya pedí otro par en otro color, hermosos",twitter,4,False,False,2021-10-27 16:04:27,positivo
araceli56,79,084 Diamante,rojo,1,Horrible calidad los 084 Diamante 😠 ni para regalar #malacompra #panam,twitter,64,False,True,2022-08-01 13:59:31,negativo
luciapatino,2681,084 Clásico,negro,5,Bonitos los 084 Clásico 👌 buen precio para la calidad,google_reviews,19,True,False,2026-02-27 14:10:34,positivo
jorgedel-rio,219,RL15,rojo,2,"Los RL15 son una PORQUERÍA, se rompieron al mes 🤬 quiero MI REEMBOLSO ya",google_reviews,47,False,True,2022-01-06 15:49:41,negativo
fguajardo,174,084,negro,5,Increíbles!! Los 084 se ven y se sienten premium 🔝🔥 vale cada peso,amazon,139,False,False,2026-04-22 02:52:08,positivo
miguelriojas,1250,SuperFaro,gris,2,"Esperaba más de los SuperFaro, la suela es muy delgada 😕 regulares",facebook,21,True,False,2023-07-04 09:26:40,negativo
qherrera,14732,084 Diamante,beige,3,"Incomodísimos los 084 Diamante, me lastimaron los pies después de 1 hr 😣",tiktok,103,True,False,2021-06-04 12:14:40,negativo
rloera,71,Barracuda,beige,2,Excelente diseño los Barracuda pero algo caros para la calidad real 💸,facebook,27,True,False,2025-12-29 12:49:58,mixto
diegoquintanilla,64,Ultra,azul,5,Mejor compra del año!! Los Ultra son una BELLEZA 🔥🔥🔥 #PanamForever,tiktok,21,False,True,2024-04-13 22:45:41,positivo
silvia64,84,084 Clásico,verde,5,"Buenos los 084 Clásico, me gustaron 👍 cumplen lo prometido",instagram,13,False,False,2025-03-25 15:40:05,positivo
leonardo67,138,084,gris,4,Por fin unos tenis que duran! Los 084 ya tienen 8 meses y siguen como nuevos 💪,tiktok,24,True,False,2022-04-02 16:09:56,positivo
carlavazquez,237,084 Campeón,rosa,1,"Los 084 Campeón son una PORQUERÍA, se rompieron al mes 🤬 quiero MI REEMBOLSO ya",tiktok,149,False,False,2024-05-25 13:27:22,negativo
silvano06,1062,084,rosa,1,PÉSIMOS los 084 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,google_reviews,144,True,False,2023-09-06 02:15:44,negativo
vallesbruno,96,Urbano,verde,4,Quedé enamoradísima de mis Urbano ✨ buenísima calidad y precio 👌🥰,twitter,9,False,False,2025-07-27 14:11:32,positivo
maximiliano95,207,084 Clásico,rojo,3,Cómodos los 084 Clásico pero el color destiñe en 2 lavadas 😕 mitad y mitad,twitter,46,False,False,2023-03-17 17:40:59,mixto
reinahenriquez,397,084 Clásico,rojo,2,"Mala compra los 084 Clásico, no son lo que esperaba ☹️ poco durables",facebook,9,True,True,2022-07-05 06:31:13,negativo
arenaswilfrido,41,084 Campeón,negro,4,Quedé enamoradísima de mis 084 Campeón ✨ buenísima calidad y precio 👌🥰,tiktok,2,True,False,2025-02-03 21:40:52,positivo
venegasasuncion,1600,RL15,rosa,3,Buena calidad los RL15 pero la entrega tardó 3 semanas 😑 ojo con eso,twitter,131,True,True,2022-06-18 14:17:45,mixto
luceroaldonza,2542,084 Campeón,rosa,2,Me gustaron los 084 Campeón aunque son un poco apretados al principio 😬 ya cedieron,google_reviews,59,True,True,2024-11-17 05:40:39,mixto
leonelcenteno,47,Gran Prix,negro,5,"Buenos los Gran Prix, me gustaron 👍 cumplen lo prometido",google_reviews,12,True,True,2025-12-07 04:40:43,positivo
lucia84,3278,Vaivén,negro,5,MARAVILLOSOS los Vaivén 😍 como caminar en nubes ☁️☁️ los amo,tiktok,4,True,True,2022-09-29 12:50:34,positivo
hilda45,5387,084 Clásico,verde,3,"Los 084 Clásico están ok, nada del otro mundo 🤷",google_reviews,2,True,False,2022-04-29 03:11:50,neutro
jbenitez,262,Perestroika,negro,3,"Regulares los Perestroika, esperaba un poquito más pero también un poquito menos",facebook,15,True,False,2023-04-07 06:34:19,neutro
xvaldes,289,084,gris,2,Pésima atención y los 084 llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,twitter,26,False,False,2022-02-10 20:59:29,negativo
qalcaraz,138,084 Clásico,blanco,5,"Decentes los 084 Clásico, no son los mejores pero cumplen 🙂",amazon,4,False,True,2025-11-28 09:15:10,positivo
renteriabarbara,5372,Vital,verde,5,"Yo súper feliz con mis Vital 🥹 mejor inversión del mes, los recomiendo muchísimo",tiktok,3,False,False,2023-07-29 19:41:34,positivo
gnieto,23245,Panam Alfa,rojo,2,"Los Panam Alfa cumplen, los uso para diario nomás",instagram,26,False,False,2023-05-02 18:32:46,neutro
nalvarado,51,Vital,gris,4,BUENÍSIMOS los Vital!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,tiktok,41,False,False,2026-02-13 13:05:23,positivo
paulina31,483,RL15,rosa,3,"AMO mis RL15 💖 ya pedí otro par en otro color, hermosos",google_reviews,95,True,True,2025-04-17 17:49:03,positivo
susana61,1362,Ultra,gris,3,"Normales los Ultra, ni bien ni mal 🤷‍♂️",instagram,27,False,False,2022-07-14 14:03:04,neutro
archuletauriel,2355,Vital,verde,1,Muy decepcionada con mis Vital 💔 esperaba muchísimo más por el precio que pagué 🙄,facebook,8,False,False,2025-07-14 20:16:31,negativo
calderonmodesto,543,RL15,verde,4,"Los RL15 cumplen, los uso para diario nomás",facebook,0,False,False,2025-12-01 09:54:05,neutro
carolinarendon,1657,084 Campeón,gris,2,"Regulares los 084 Campeón, esperaba un poquito más pero también un poquito menos",amazon,2,True,False,2024-07-02 00:08:42,neutro
vvillagomez,28,Gran Prix,gris,3,"Normales los Gran Prix, ni bien ni mal 🤷‍♂️",instagram,10,True,False,2022-08-29 09:35:01,neutro
fcamacho,217,084 Clásico,rosa,4,Increíbles!! Los 084 Clásico se ven y se sienten premium 🔝🔥 vale cada peso,facebook,49,True,True,2024-10-25 06:50:50,positivo
antonio53,162,Urbano,rosa,4,"Yo súper feliz con mis Urbano 🥹 mejor inversión del mes, los recomiendo muchísimo",instagram,38,True,False,2025-02-11 20:33:37,positivo
xgracia,244,084,rojo,3,Pésima atención y los 084 llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,tiktok,164,False,False,2022-03-10 23:56:20,negativo
maria-cristina50,3480,Urbano,negro,4,Increíbles!! Los Urbano se ven y se sienten premium 🔝🔥 vale cada peso,tiktok,134,False,False,2024-09-24 06:57:53,positivo
juan17,60,Perestroika,negro,5,"10/10 los Perestroika ⭐⭐⭐⭐⭐ excelente atención y producto, llegaron rapidísimo",amazon,17,True,False,2022-02-15 03:11:13,positivo
socorrozambrano,218,084,blanco,2,Terrible experiencia con los 084 💔 mala calidad y peor servicio al cliente 😡,google_reviews,43,True,False,2021-07-11 16:02:55,negativo
merinoomar,48,Urbano,azul,3,Mis Urbano son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,instagram,70,False,False,2022-06-01 13:05:11,positivo
dariourrutia,315,084,blanco,4,"10/10 los 084 ⭐⭐⭐⭐⭐ excelente atención y producto, llegaron rapidísimo",twitter,19,False,False,2023-02-08 22:17:40,positivo
miguel-angelmendez,48,Barracuda,gris,5,"Cumple lo prometido, los Barracuda están bien para el uso diario 👍🏼",facebook,15,True,True,2022-08-07 17:57:29,positivo
lebronhumberto,6388,084 Diamante,beige,3,Bonitos los 084 Diamante pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,amazon,30,True,True,2022-06-14 04:26:14,mixto
jos10,19,Flip,verde,5,"Los mejores tenis que he tenido!! Los Flip son cómodos, bonitos y baratos 👌🔥",google_reviews,4,True,False,2022-06-19 19:28:57,positivo
muniznicolas,611,Urbano,rojo,2,"Mala compra los Urbano, no son lo que esperaba ☹️ poco durables",amazon,15,True,False,2024-02-06 05:40:18,negativo
delgadoraul,544,084 Campeón,azul,3,Buena calidad los 084 Campeón pero la entrega tardó 3 semanas 😑 ojo con eso,tiktok,27,False,False,2021-10-16 02:40:32,mixto
doloressotelo,121,084 Diamante,negro,1,Terrible experiencia con los 084 Diamante 💔 mala calidad y peor servicio al cliente 😡,google_reviews,16,True,False,2022-04-24 09:49:39,negativo
rolonestela,91,084 Diamante,rojo,2,Buena calidad los 084 Diamante pero la entrega tardó 3 semanas 😑 ojo con eso,instagram,11,True,False,2024-06-04 03:06:14,mixto
razojosefina,300,Urbano,rosa,5,"Buenos los Urbano, me gustaron 👍 cumplen lo prometido",google_reviews,22,True,False,2023-03-25 15:28:05,positivo
soliztomas,294,Panam Alfa,beige,3,"Los Panam Alfa están ok, nada del otro mundo 🤷",google_reviews,22,True,False,2025-03-29 09:38:49,neutro
ballesteroshermelinda,370,Barracuda,rojo,2,"Regulares los Barracuda, esperaba un poquito más pero también un poquito menos",tiktok,14,True,False,2024-10-05 02:16:28,neutro
fcardenas,219,084,blanco,5,BUENÍSIMOS los 084!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,twitter,79,True,False,2025-02-12 09:55:33,positivo
blancoadriana,612,084 Campeón,verde,5,Excelentísimos los 084 Campeón ✨ los uso para correr y son perfectos 🏃‍♂️💨,google_reviews,6,False,False,2022-08-10 04:05:36,positivo
castroroberto,136,084 Diamante,azul,2,NO LOS COMPREN!! Mis 084 Diamante se despegaron en una semana 😤 estafa total,google_reviews,3,True,False,2026-04-28 23:28:33,negativo
carla98,8,084 Clásico,blanco,1,"Esperaba más de los 084 Clásico, la suela es muy delgada 😕 regulares",tiktok,79,True,False,2023-11-08 12:41:28,negativo
msantiago,60,Panam Alfa,verde,5,Mejor compra del año!! Los Panam Alfa son una BELLEZA 🔥🔥🔥 #PanamForever,google_reviews,45,True,False,2025-01-01 21:30:29,positivo
carrerotrinidad,1,Vital,negro,5,Quedé enamoradísima de mis Vital ✨ buenísima calidad y precio 👌🥰,google_reviews,98,True,False,2026-01-13 06:03:20,positivo
eloisarazo,21,084,rosa,2,"Esperaba más de los 084, la suela es muy delgada 😕 regulares",instagram,13,True,False,2023-04-16 05:14:14,negativo
dmojica,134,084 Campeón,gris,3,Cómodos los 084 Campeón pero el color destiñe en 2 lavadas 😕 mitad y mitad,amazon,34,True,False,2024-09-26 02:59:55,mixto
ucadena,95,Vital,negro,1,Me quedaron grandes los Vital y la talla era la correcta 😒 mala medición,facebook,19,True,False,2024-12-22 05:21:08,negativo
violeta45,156,084,rojo,1,"Esperaba más de los 084, la suela es muy delgada 😕 regulares",amazon,21,True,False,2022-08-23 13:06:15,negativo
fbarrera,20,084,rosa,4,"Yo súper feliz con mis 084 🥹 mejor inversión del mes, los recomiendo muchísimo",twitter,41,True,True,2022-01-26 12:44:58,positivo
preciadoevelio,84,Flip,beige,1,Horrible calidad los Flip 😠 ni para regalar #malacompra #panam,facebook,11,True,True,2024-07-07 02:05:05,negativo
maria-teresabalderas,2437,084,rosa,5,"AMO mis 084 💖 ya pedí otro par en otro color, hermosos",facebook,1,True,False,2026-05-02 09:31:37,positivo
yeni16,943,084,verde,4,Me gustaron los 084 aunque son un poco apretados al principio 😬 ya cedieron,amazon,38,True,False,2024-05-08 21:42:18,mixto
savalos,889,RL15,beige,1,Terrible experiencia con los RL15 💔 mala calidad y peor servicio al cliente 😡,twitter,20,True,True,2024-01-02 01:24:00,negativo
fernando98,528,084,beige,4,"Los 084 cumplen, los uso para diario nomás",tiktok,33,True,True,2023-02-26 06:28:35,neutro
ursularosario,9419,Gran Prix,beige,2,NO LOS COMPREN!! Mis Gran Prix se despegaron en una semana 😤 estafa total,amazon,37,False,False,2023-04-03 00:25:49,negativo
montezmaria-teresa,37,084,blanco,1,PÉSIMOS los 084 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,twitter,3,False,False,2024-06-21 06:51:35,negativo
leivaminerva,78,084 Campeón,negro,5,"Yo súper feliz con mis 084 Campeón 🥹 mejor inversión del mes, los recomiendo muchísimo",google_reviews,186,True,False,2023-04-08 23:09:56,positivo
xvalentin,346,084 Campeón,blanco,5,"AMO mis 084 Campeón 💖 ya pedí otro par en otro color, hermosos",facebook,77,False,False,2026-01-30 01:02:48,positivo
jaramilloandres,4698,Panam Alfa,blanco,1,"Esperaba más de los Panam Alfa, la suela es muy delgada 😕 regulares",instagram,12,True,False,2022-11-17 20:19:08,negativo
wilfrido55,355,SuperFaro,verde,2,Cómodos los SuperFaro pero el color destiñe en 2 lavadas 😕 mitad y mitad,tiktok,52,True,False,2021-05-25 06:48:07,mixto
hugovalles,88,Vital,negro,4,BUENÍSIMOS los Vital!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,amazon,101,True,False,2024-10-02 12:10:06,positivo
colladosandra,5,Barracuda,rojo,2,Terrible experiencia con los Barracuda 💔 mala calidad y peor servicio al cliente 😡,google_reviews,27,True,False,2021-08-09 13:28:49,negativo
tamezmarcos,232,084 Diamante,rojo,5,"Los mejores tenis que he tenido!! Los 084 Diamante son cómodos, bonitos y baratos 👌🔥",google_reviews,28,False,False,2024-07-18 02:36:33,positivo
vrendon,1204,Panam Alfa,beige,2,Pésima atención y los Panam Alfa llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,twitter,103,True,True,2022-09-07 08:48:27,negativo
zacarias59,547,084 Diamante,blanco,4,"Compré los 084 Diamante, son tenis. Punto.",google_reviews,36,True,False,2022-01-25 06:22:38,neutro
cortesjacobo,6,Urbano,negro,5,"Decentes los Urbano, no son los mejores pero cumplen 🙂",twitter,49,False,False,2021-10-07 22:04:53,positivo
juradoesparta,398,084 Campeón,azul,2,"Incomodísimos los 084 Campeón, me lastimaron los pies después de 1 hr 😣",google_reviews,9,True,False,2024-12-13 16:21:15,negativo
czepeda,249,SuperFaro,rosa,4,"Cumple lo prometido, los SuperFaro están bien para el uso diario 👍🏼",amazon,9,True,False,2024-11-13 03:17:58,positivo
marcos81,440,Panam Alfa,azul,3,"Los Panam Alfa están ok, nada del otro mundo 🤷",twitter,8,True,False,2024-04-12 17:28:29,neutro
scarranza,70,084 Diamante,rosa,1,Horrible calidad los 084 Diamante 😠 ni para regalar #malacompra #panam,google_reviews,44,False,False,2025-06-26 05:29:21,negativo
bernabe36,11,084 Diamante,rojo,5,BUENÍSIMOS los 084 Diamante!! Aguantaron toda la maratón ❤️‍🔥 100% recomendados 💯,google_reviews,74,True,False,2021-10-23 12:21:37,positivo
florestomas,1512,SuperFaro,rosa,5,"Me gustaron los SuperFaro, cómodos y bonitos para diario 🙂",tiktok,30,True,False,2023-02-21 14:16:06,positivo
pedrolongoria,173,084,verde,5,Bonitos los 084 👌 buen precio para la calidad,amazon,20,False,False,2024-02-19 18:05:51,positivo
aguilaritzel,11,084 Diamante,beige,3,"Compré los 084 Diamante, son tenis. Punto.",tiktok,4,True,False,2025-01-03 07:29:12,neutro
